home,office,onthego,cafe,other,n,pct
0,0,0,0,0,3,7.422068283028204e-4
0,0,0,0,1,34,0.008411677387431964
0,0,0,1,0,71,0.01756556160316675
0,0,0,1,1,1,2.4740227610094015e-4
0,0,1,0,0,32,0.007916872835230085
0,0,1,1,0,8,0.0019792182088075212
0,1,0,0,0,141,0.03488372093023256
0,1,0,1,0,15,0.003711034141514102
0,1,1,0,0,17,0.004205838693715982
0,1,1,1,0,9,0.002226620484908461
1,0,0,0,0,1625,0.4020286986640277
1,0,0,0,1,1,2.4740227610094015e-4
1,0,0,1,0,501,0.123948540326571
1,0,1,0,0,155,0.03834735279564572
1,0,1,1,0,114,0.028203859475507173
1,1,0,0,0,636,0.15734784760019793
1,1,0,1,0,242,0.05987135081642751
1,1,1,0,0,161,0.03983176645225136
1,1,1,1,0,209,0.051707075705096486
,,,,,67,0.016575952498762987
